video,score,content
1080p_1M_Light2,63.99933170944399,Light2
720p_2.6M_football6,26.999689686907864,football6
1080p_6M_UrbanLandmark,8.165132812525954,UrbanLandmark
1080p_6M_Daylight1,12.75601733533199,Daylight1
4k_3M_football8,10.087561074892406,football8
1080p_9M_CargoBoat,27.937173182682017,CargoBoat
540p_2.2M_football8,29.87625159913941,football8
1080p_1M_Chasing1,51.15330973733917,Chasing1
720p_4.6M_Light2,38.0480590131836,Light2
1080p_9M_football6,5.953488139728677,football6
720p_2.6M_football9,35.55898930060906,football9
4k_15M_football8,0.833220058299446,football8
1080p_1M_football3,52.75301262283512,football3
4k_ref_football6,0.0,football6
4k_6M_UrbanLandmark,6.667099169226844,UrbanLandmark
720p_2.6M_Chasing1,27.328312404177023,Chasing1
4k_15M_UrbanLandmark,0.8441974827773038,UrbanLandmark
1080p_6M_NighTraffic,5.4195420933939005,NighTraffic
4k_6M_Porsche,-0.1116463719585425,Porsche
4k_15M_golf2,3.080029272021747,golf2
4k_6M_Light2,28.057329748618848,Light2
1080p_9M_Light3,4.253269516695326,Light3
720p_2.6M_UrbanLandmark,25.56176726503256,UrbanLandmark
1080p_6M_football3,14.50901183622765,football3
1080p_1M_football6,51.31429479840608,football6
720p_4.6M_Chasing1,26.616858524532415,Chasing1
4k_ref_football4,0.0,football4
720p_4.6M_Daylight1,17.86776718452407,Daylight1
720p_2.6M_Porsche,18.262417042995864,Porsche
720p_4.6M_CargoBoat,38.39999890068516,CargoBoat
4k_ref_Light3,0.0,Light3
4k_ref_football3,0.0,football3
4k_ref_Chasing1,0.0,Chasing1
4k_3M_Porsche,4.961436115960765,Porsche
4k_3M_Light3,20.65633200788666,Light3
4k_15M_football4,-0.5598485996620894,football4
540p_2.2M_Light2,50.56696858330153,Light2
4k_3M_Chasing1,10.58892364804963,Chasing1
720p_2.6M_golf2,35.07941383422324,golf2
4k_6M_Daylight1,12.573969274086352,Daylight1
1080p_1M_football8,36.21697706227677,football8
4k_15M_Chasing1,1.1025877394197607,Chasing1
540p_2.2M_Porsche,29.47294265666808,Porsche
4k_6M_football4,9.105822886548282,football4
1080p_1M_football9,53.55525013066072,football9
1080p_6M_golf2,15.491189828832248,golf2
1080p_6M_football9,16.47924434300809,football9
1080p_9M_football3,7.911586547917295,football3
720p_4.6M_football9,32.73883935975955,football9
1080p_9M_golf2,11.682749827822832,golf2
1080p_9M_NighTraffic,2.0908219760505915,NighTraffic
4k_15M_football6,4.821491961645137,football6
4k_ref_Light2,0.0,Light2
720p_2.6M_CargoBoat,42.08216371392548,CargoBoat
4k_15M_Light3,1.3874269482351025,Light3
1080p_6M_Porsche,3.9667963168398046,Porsche
4k_3M_football4,26.68077150263436,football4
4k_3M_football9,21.41620410361398,football9
1080p_6M_football4,15.257878124868029,football4
1080p_1M_Daylight1,43.99950268295375,Daylight1
1080p_1M_CourtYard,39.439304334232425,CourtYard
720p_4.6M_football4,27.307204347695706,football4
540p_2.2M_Light3,46.29071589497856,Light3
1080p_6M_football8,10.528790746484802,football8
1080p_1M_Porsche,24.66451160356812,Porsche
540p_2.2M_football3,36.79393721894,football3
1080p_1M_Light3,44.237306567949226,Light3
4k_ref_Porsche,0.0,Porsche
4k_6M_Light3,3.316929616610622,Light3
540p_2.2M_golf2,44.559182380567975,golf2
720p_4.6M_football6,19.79625232211872,football6
720p_2.6M_football4,30.79935791027564,football4
720p_4.6M_football8,19.434381512054173,football8
4k_15M_Porsche,3.515576219323876,Porsche
1080p_9M_UrbanLandmark,11.094339480397425,UrbanLandmark
4k_ref_football9,0.0,football9
720p_2.6M_football8,20.624810706609978,football8
720p_4.6M_Porsche,13.351495800529634,Porsche
540p_2.2M_football9,52.47288468691636,football9
1080p_6M_CargoBoat,36.98770051723181,CargoBoat
720p_2.6M_NighTraffic,26.172055794698707,NighTraffic
720p_4.6M_CourtYard,28.3217674577786,CourtYard
4k_15M_CargoBoat,21.14156221593474,CargoBoat
1080p_6M_Light3,8.447354595967894,Light3
1080p_1M_NighTraffic,44.02493827740384,NighTraffic
1080p_9M_football4,9.67343204189595,football4
4k_3M_CourtYard,18.958180740994077,CourtYard
4k_ref_Daylight1,0.0,Daylight1
4k_15M_football9,2.416984171394901,football9
1080p_1M_CargoBoat,57.11991467527102,CargoBoat
1080p_1M_football4,53.20270943107151,football4
720p_2.6M_CourtYard,29.434047775880337,CourtYard
720p_4.6M_golf2,27.92447133289312,golf2
4k_3M_football6,19.393190752449016,football6
4k_6M_football9,8.288010269048527,football9
4k_ref_NighTraffic,0.0,NighTraffic
4k_6M_CargoBoat,29.471317152590142,CargoBoat
540p_2.2M_football4,44.77257624060479,football4
4k_ref_CourtYard,0.0,CourtYard
1080p_6M_Light2,28.852062020022423,Light2
1080p_9M_CourtYard,7.489333526798461,CourtYard
720p_2.6M_Daylight1,23.23693131651818,Daylight1
540p_2.2M_NighTraffic,42.39875533932346,NighTraffic
540p_2.2M_UrbanLandmark,40.84340318763897,UrbanLandmark
720p_2.6M_Bonfire,46.47238818082343,Bonfire
720p_2.6M_Flowers,54.98972113759427,Flowers
4k_15M_football1,3.666046887263107,football1
1080p_1M_Furniture,32.067403154991,Furniture
4k_6M_football10,10.069420360354428,football10
4k_15M_football5,2.4936619991188707,football5
1080p_6M_football7,12.99368606747882,football7
720p_4.6M_Skyscraper,27.437870077117985,Skyscraper
1080p_9M_football10,10.522435004143889,football10
4k_ref_Bonfire,0.0,Bonfire
1080p_1M_football5,45.15435130256735,football5
720p_2.6M_football7,27.416423732359952,football7
4k_6M_golf1,14.120303889743113,golf1
720p_2.6M_Chasing3,21.71474806974936,Chasing3
4k_3M_football2,24.31317666661245,football2
540p_2.2M_golf1,53.17236594334495,golf1
1080p_9M_firework,9.931227800262818,firework
1080p_9M_OfficeBuilding,7.856414586889592,OfficeBuilding
720p_4.6M_football5,22.263751530730083,football5
4k_ref_Light4,0.0,Light4
720p_4.6M_Chasing4,25.11500576893565,Chasing4
4k_3M_Light4,16.30074007431989,Light4
4k_ref_Skyscraper,0.0,Skyscraper
1080p_9M_Flowers,20.90977090122901,Flowers
4k_6M_football2,6.025316047731536,football2
4k_3M_Bonfire,72.53415514284696,Bonfire
540p_2.2M_Furniture,32.00673901559196,Furniture
4k_3M_football1,29.85130930763673,football1
4k_ref_OfficeBuilding,0.0,OfficeBuilding
4k_6M_Flowers,39.505571588998734,Flowers
4k_15M_football7,2.476990591132491,football7
4k_6M_Furniture,3.258569161317183,Furniture
4k_15M_Skyscraper,-0.965601789505314,Skyscraper
4k_15M_football2,-0.4684174752306518,football2
540p_2.2M_OfficeBuilding,35.24980149776444,OfficeBuilding
720p_4.6M_football7,20.171338342970454,football7
4k_ref_football1,0.0,football1
4k_3M_Chasing4,11.286088132950567,Chasing4
720p_2.6M_Light4,35.13010712069119,Light4
1080p_6M_CenterPanorama,9.085524688101003,CenterPanorama
1080p_6M_Skyscraper,13.291513336511729,Skyscraper
1080p_6M_Bonfire,30.50850795349937,Bonfire
4k_ref_football10,0.0,football10
1080p_9M_football2,13.20958014774328,football2
720p_2.6M_golf1,41.77196472410136,golf1
1080p_1M_OfficeBuilding,33.21073497960785,OfficeBuilding
1080p_9M_CenterPanorama,9.57293004997544,CenterPanorama
720p_2.6M_Skyscraper,26.360706630908812,Skyscraper
1080p_9M_Bonfire,21.068401998049687,Bonfire
4k_ref_golf1,0.0,golf1
540p_2.2M_Bonfire,47.87771675494776,Bonfire
540p_2.2M_football7,41.35350380544772,football7
720p_4.6M_Flowers,41.625083522532464,Flowers
1080p_6M_football1,16.309164524015415,football1
4k_ref_Flowers,0.0,Flowers
4k_3M_football7,22.53181704966258,football7
4k_15M_CenterPanorama,6.192572547212791,CenterPanorama
540p_2.2M_football5,42.72757353331095,football5
1080p_6M_football10,15.001198477670629,football10
4k_ref_Chasing4,0.0,Chasing4
1080p_1M_football7,50.05428262960736,football7
1080p_6M_golf1,16.192573456296486,golf1
1080p_6M_Chasing3,7.419621638271096,Chasing3
4k_3M_OfficeBuilding,11.841311863697229,OfficeBuilding
1080p_1M_Skyscraper,37.7353064078654,Skyscraper
720p_4.6M_CenterPanorama,23.966467061045435,CenterPanorama
1080p_6M_football2,16.640108852521735,football2
4k_15M_football10,5.016853927777817,football10
4k_15M_firework,6.9754014646549365,firework
1080p_1M_Chasing3,32.52801990650793,Chasing3
1080p_1M_golf1,67.84699391483957,golf1
1080p_9M_football1,16.019710372608657,football1
540p_2.2M_CenterPanorama,41.61849961659914,CenterPanorama
4k_3M_golf1,32.46361535110315,golf1
4k_3M_Flowers,76.06692698243383,Flowers
4k_6M_OfficeBuilding,3.6479514058944176,OfficeBuilding
4k_ref_football2,0.0,football2
4k_15M_Light4,2.2956414597469887,Light4
540p_2.2M_Chasing4,39.78835865505588,Chasing4
4k_3M_Skyscraper,12.763453234006237,Skyscraper
1080p_1M_CenterPanorama,31.716274227160422,CenterPanorama
1080p_9M_Furniture,4.853733237033481,Furniture
720p_4.6M_golf1,31.571857268217137,golf1
720p_2.6M_football2,34.80058032921762,football2
4k_3M_firework,42.80025472110911,firework
1080p_6M_football5,10.79140075942071,football5
1080p_1M_Chasing4,37.25030062755199,Chasing4
4k_3M_football10,32.40848101308871,football10
1080p_6M_firework,19.012606412609813,firework
540p_2.2M_football10,42.24671153049535,football10
4k_ref_CenterPanorama,0.0,CenterPanorama
540p_2.2M_Flowers,59.3325648812755,Flowers
720p_4.6M_football10,27.87832120714856,football10
720p_4.6M_firework,25.349367340693384,firework
540p_2.2M_Chasing3,32.34918038957041,Chasing3
1080p_9M_football7,9.808671522429378,football7
4k_6M_Skyscraper,4.709363143336617,Skyscraper
1080p_6M_Chasing4,8.386341348600169,Chasing4
540p_2.2M_Light4,48.83270372127983,Light4
4k_6M_Chasing4,6.343861525767011,Chasing4
1080p_1M_Flowers,84.92144848056543,Flowers
4k_3M_football5,18.35544733232242,football5
4k_15M_Furniture,-0.8537468012019076,Furniture
720p_2.6M_football5,26.679532620641737,football5
4k_ref_firework,0.0,firework
4k_6M_football1,10.173598852434663,football1
4k_3M_Furniture,13.445259048946667,Furniture
4k_3M_Chasing3,8.571950789201807,Chasing3
540p_2.2M_firework,47.64913537697834,firework
720p_2.6M_Chasing4,25.29811254821472,Chasing4
720p_2.6M_Furniture,19.90182599801203,Furniture
4k_15M_Flowers,13.387403000383514,Flowers
720p_2.6M_firework,37.37389280941197,firework
4k_ref_football7,0.0,football7
1080p_9M_Skyscraper,9.942478076023704,Skyscraper
1080p_6M_Light4,15.636846460457775,Light4
1080p_1M_football10,65.21165645593744,football10
1080p_1M_firework,59.96268490935866,firework
720p_4.6M_Furniture,19.259021683946926,Furniture
4k_15M_golf1,6.337829109109919,golf1
720p_2.6M_football1,38.83911591514793,football1
4k_6M_CenterPanorama,6.692505010284378,CenterPanorama
4k_15M_Bonfire,18.65026002128948,Bonfire
720p_4.6M_Chasing3,17.413898196286254,Chasing3
540p_2.2M_football2,48.40294940406921,football2
4k_6M_Bonfire,56.20329464991395,Bonfire
1080p_1M_Light4,41.95524579378744,Light4
1080p_6M_OfficeBuilding,8.657885737451586,OfficeBuilding
1080p_9M_golf1,16.824154402789034,golf1
4k_6M_Chasing3,2.455919889211259,Chasing3
720p_2.6M_football10,35.810712343623464,football10
4k_ref_football5,0.0,football5
4k_6M_firework,22.3885587044645,firework
4k_ref_Furniture,0.0,Furniture
1080p_1M_football2,53.09523437941475,football2
720p_4.6M_OfficeBuilding,23.263249117836104,OfficeBuilding
4k_6M_football5,3.4090612749242126,football5
1080p_6M_Flowers,37.26960011818254,Flowers
4k_15M_Chasing4,5.150881747540481,Chasing4
1080p_9M_Light4,11.937655287058092,Light4
1080p_6M_Furniture,4.245852530468909,Furniture
1080p_9M_Chasing3,5.32403504793956,Chasing3
4k_6M_football7,6.290105445697179,football7
720p_4.6M_football2,28.75586989774189,football2
540p_2.2M_football1,49.86131934219473,football1
4k_ref_Chasing3,0.0,Chasing3
1080p_1M_Bonfire,75.02380476449696,Bonfire
720p_4.6M_football1,32.709754560825026,football1
4k_6M_Light4,5.552133624359527,Light4
720p_4.6M_Bonfire,27.26448999758932,Bonfire
720p_4.6M_Light4,29.91167017473305,Light4
4k_3M_CenterPanorama,16.7170449965275,CenterPanorama
1080p_9M_Chasing4,6.8303413502770525,Chasing4
1080p_9M_football5,11.200788671780884,football5
720p_2.6M_OfficeBuilding,23.89079636305098,OfficeBuilding
540p_2.2M_Skyscraper,41.66065058929771,Skyscraper
1080p_1M_football1,56.58988780941915,football1
720p_2.6M_CenterPanorama,24.425411700854283,CenterPanorama
4k_15M_OfficeBuilding,2.079914552581556,OfficeBuilding
4k_15M_Chasing3,-0.7773236454841737,Chasing3
